Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
FLAT TAMAN UNGKU TUN AMINAH,SKUDAI,JOHOR,FREEHOLD,FLAT,140000.0,283.0,48
MERIDIN EAST,PASIR GUDANG,JOHOR,FREEHOLD,TERRACE HOUSE,580000.0,414.0,104
TAMAN SKUDAI BARU,SKUDAI,JOHOR,FREEHOLD,TERRACE HOUSE,435000.0,325.0,104
TAMAN MUTIARA BESTARI,SKUDAI,JOHOR,FREEHOLD,CLUSTER HOUSE,1114310.0,483.0,114
TAMAN MUTIARA BESTARI,SKUDAI,JOHOR,FREEHOLD,SEMI D,1114310.0,483.0,84
BUKIT BERUNTUNG,SERENDAH,SELANGOR,FREEHOLD,TERRACE HOUSE,300000.0,222.0,104
TAMAN RINTING,MASAI,JOHOR,FREEHOLD,TERRACE HOUSE,430000.0,279.0,104
SETIA TROPIKA,TAMPOI,JOHOR,FREEHOLD,CLUSTER HOUSE,911890.0,435.0,110
SETIA TROPIKA,TAMPOI,JOHOR,FREEHOLD,TERRACE HOUSE,911890.0,435.0,104
CALEDONIA,IJOK,SELANGOR,FREEHOLD,TERRACE HOUSE,509800.0,392.0,104
ALAM NUSANTARA,SETIA ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,872999.0,496.0,104
TAMAN SCIENTEX KOTA TINGGI,KOTA TINGGI,JOHOR,LEASEHOLD,TERRACE HOUSE,80000.0,104.0,104
LAMAN ASPIRASI (BANTING),BANTING,SELANGOR,FREEHOLD,SEMI D,180000.0,129.0,84
LAMAN ASPIRASI (BANTING),BANTING,SELANGOR,FREEHOLD,TERRACE HOUSE,180000.0,129.0,104
BANDAR MAHKOTA CHERAS,CHERAS,SELANGOR,FREEHOLD,SEMI D,640000.0,422.0,84
BANDAR MAHKOTA CHERAS,CHERAS,SELANGOR,FREEHOLD,TERRACE HOUSE,640000.0,422.0,103
BANDAR MAHKOTA CHERAS,CHERAS,SELANGOR,FREEHOLD,TOWN HOUSE,640000.0,422.0,73
PRIMA @ SITIAWAN,SITIAWAN,PERAK,FREEHOLD,TERRACE HOUSE,270610.0,193.0,102
BANDAR MAHKOTA BANTING (BANDAR BARU BROOKLANDS),TANJONG DUABELAS,SELANGOR,FREEHOLD,TERRACE HOUSE,400000.0,258.0,102
OUG PARKLANE,JALAN KLANG LAMA (OLD KLANG ROAD),KUALA LUMPUR,FREEHOLD,SERVICE RESIDENCE,580000.0,611.0,50
ALAM IMPIAN,SHAH ALAM,SELANGOR,FREEHOLD,TERRACE HOUSE,887800.0,488.0,99
